YEAR,STATE,COUNTY,PARTY,VOTES
2024,FL,Glades County,Democratic,1222
2024,FL,Gulf County,Republican,6684
2024,FL,Gulf County,Democratic,1970
2024,FL,Hamilton County,Republican,3964
2024,FL,Hamilton County,Democratic,1727
2024,FL,Hardee County,Republican,6336
2024,FL,Hardee County,Democratic,1751
2024,FL,Hendry County,Republican,9253
2024,FL,Hendry County,Democratic,4096
2024,FL,Hernando County,Republican,75446
2024,FL,Hernando County,Democratic,34431
2024,FL,Highlands County,Republican,36382
2024,FL,Highlands County,Democratic,15227
2024,FL,Hillsborough County,Republican,342017
2024,FL,Hillsborough County,Democratic,321455
2024,FL,Holmes County,Republican,8193
2024,FL,Holmes County,Democratic,882
2024,FL,Indian River County,Republican,62737
2024,FL,Indian River County,Democratic,35654
2024,FL,Jackson County,Republican,16074
2024,FL,Jackson County,Democratic,5892
2024,FL,Jefferson County,Republican,5011
2024,FL,Jefferson County,Democratic,3429
2024,FL,Lafayette County,Republican,3296
2024,FL,Lafayette County,Democratic,441
2024,FL,Lake County,Republican,140500
2024,FL,Lake County,Democratic,84546
2024,FL,Lee County,Republican,250661
2024,FL,Lee County,Democratic,139240
2024,FL,Leon County,Republican,60397
2024,FL,Leon County,Democratic,94520
2024,FL,Levy County,Republican,18245
2024,FL,Levy County,Democratic,5994
2024,FL,Liberty County,Republican,2898
2024,FL,Liberty County,Democratic,566
2024,FL,Madison County,Republican,5874
2024,FL,Madison County,Democratic,3231
2024,FL,Manatee County,Republican,140486
2024,FL,Manatee County,Democratic,86674
2024,FL,Marion County,Republican,140173
2024,FL,Marion County,Democratic,72436
2024,FL,Martin County,Republican,64121
2024,FL,Martin County,Democratic,33539
2024,FL,Miami-Dade County,Republican,605590
2024,FL,Miami-Dade County,Democratic,480355
2024,FL,Monroe County,Republican,26064
2024,FL,Monroe County,Democratic,17933
2024,FL,Nassau County,Republican,47945
2024,FL,Nassau County,Democratic,17143
2024,FL,Okaloosa County,Republican,80309
2024,FL,Okaloosa County,Democratic,32074
2024,FL,Okeechobee County,Republican,12315
2024,FL,Okeechobee County,Democratic,3671
2024,FL,Orange County,Republican,258279
2024,FL,Orange County,Democratic,340807
2024,FL,Osceola County,Republican,86713
2024,FL,Osceola County,Democratic,84205
2024,FL,Palm Beach County,Republican,366836
2024,FL,Palm Beach County,Democratic,372512
2024,FL,Pasco County,Republican,197779
2024,FL,Pasco County,Democratic,117450
2024,FL,Pinellas County,Republican,269472
2024,FL,Pinellas County,Democratic,242452
2024,FL,Polk County,Republican,209044
2024,FL,Polk County,Democratic,136879
2024,FL,Putnam County,Republican,26700
2024,FL,Putnam County,Democratic,9354
2024,FL,Santa Rosa County,Republican,84314
2024,FL,Santa Rosa County,Democratic,27035
2024,FL,Sarasota County,Republican,163219
2024,FL,Sarasota County,Democratic,112668
2024,FL,Seminole County,Republican,129735
2024,FL,Seminole County,Democratic,120717
2024,FL,St. Johns County,Republican,128759
2024,FL,St. Johns County,Democratic,66862
2024,FL,St. Lucie County,Republican,100293
2024,FL,St. Lucie County,Democratic,83517
2024,FL,Sumter County,Republican,72134
2024,FL,Sumter County,Democratic,32551
2024,FL,Suwannee County,Republican,17561
2024,FL,Suwannee County,Democratic,4217
2024,FL,Taylor County,Republican,7954
2024,FL,Taylor County,Democratic,1991
2024,FL,Union County,Republican,5224
2024,FL,Union County,Democratic,971
2024,FL,Volusia County,Republican,187691
2024,FL,Volusia County,Democratic,120132
2024,FL,Wakulla County,Republican,14246
2024,FL,Wakulla County,Democratic,5441
2024,FL,Walton County,Republican,38970
2024,FL,Walton County,Democratic,10287
2024,FL,Washington County,Republican,10370
2024,FL,Washington County,Democratic,2140
2024,GA,Appling County,Republican,6761
2024,GA,Appling County,Democratic,1560
2024,GA,Atkinson County,Republican,2350
2024,GA,Atkinson County,Democratic,700
2024,GA,Bacon County,Republican,4186
